acc_x, acc_y, angular_z, stamp, 
0.00977027416229248, -0.0058956146240234375, -3.642348146732989e-10, 1759498910027204355, 
0.004403352737426758, 0.022662997245788574, -2.287172575902624e-06, 1759498910053268970, 
-0.006423354148864746, -0.015250086784362793, -1.8619451381097978e-10, 1759498910084576604, 
-0.0028219223022460938, 0.011373162269592285, -1.2911059318926488e-10, 1759498910114371982, 
-0.027754783630371094, 0.014925777912139893, -1.0559397066998463e-10, 1759498910144665807, 
-0.00767672061920166, 0.0020862221717834473, -8.118385993608836e-11, 1759498910174575231, 
0.019516408443450928, 0.009321331977844238, -8.033853056448986e-11, 1759498910204811435, 
0.028422117233276367, 0.023543894290924072, -4.2398246987988006e-11, 1759498910235291779, 
-0.025916099548339844, -0.01969313621520996, 4.8241486919537374e-11, 1759498910294939548, 
0.017067670822143555, -0.0002231001853942871, 4.64696743804684e-11, 1759498910325396153, 
0.00640338659286499, 0.014225125312805176, 5.228597852665022e-11, 1759498910355500986, 
0.008179783821105957, 0.019527733325958252, 2.635538236565403e-06, 1759498910378117035, 
-0.004665076732635498, -0.0004993677139282227, 6.816261460300297e-11, 1759498910445518743, 
0.00081634521484375, 0.019050896167755127, 6.823670387471062e-11, 1759498910475584022, 
0.020827114582061768, 0.01399773359298706, 9.340592645543461e-11, 1759498910507260194, 
-0.024377644062042236, -0.020767509937286377, 1.0857039088296107e-10, 1759498910538015934, 
-0.011262059211730957, 0.024107038974761963, 1.989173931715333e-06, 1759498910595715332, 
0.04304128885269165, -0.0011197328567504883, 1.9894532181758433e-06, 1759498910625680447, 
0.035812556743621826, -0.004961252212524414, 1.982510190870655e-06, 1759498910655751676, 
0.00864475965499878, -0.026798009872436523, 1.987848376036022e-06, 1759498910685741601, 
-0.016364634037017822, 0.003972768783569336, 3.2389887595080135e-10, 1759498910715866365, 
0.04816257953643799, 0.03806746006011963, 1.9182079947759437e-06, 1759498910746944079, 
0.02592378854751587, 0.005201280117034912, 1.8654930828721107e-06, 1759498910778897988, 
-0.024743318557739258, 0.003924906253814697, 2.20281493223062e-06, 1759498910805956269, 
-0.03578394651412964, -0.007028400897979736, -7.632256510836753e-11, 1759498910835986566, 
0.01997363567352295, 0.03623145818710327, 1.982078284018824e-06, 1759498910866057705, 
0.027102530002593994, 0.030985653400421143, -7.042593396859789e-11, 1759498910896124541, 
-0.00741201639175415, -0.01610034704208374, -1.406533077535273e-10, 1759498910926232811, 
-0.018093347549438477, -0.03340470790863037, -1.561186731090935e-10, 1759498910956333147, 
-0.0071198344230651855, 0.020357131958007812, -7.022672551729335e-11, 1759498910986985075, 
0.02365553379058838, 0.01150667667388916, -1.8173703029182227e-11, 1759498911019617943, 
0.04681849479675293, 0.007869184017181396, -2.977486817538109e-11, 1759498911046477757, 
-0.035939931869506836, -0.02627032995223999, -4.614293551662174e-11, 1759498911076540256, 
-0.014123678207397461, 0.022531211376190186, -7.691563874135037e-12, 1759498911106610473, 
0.054272234439849854, 0.0032612085342407227, 9.72263738752841e-13, 1759498911136749146, 
0.03244292736053467, -0.01295560598373413, 1.0911652437363771e-11, 1759498911166804268, 
-0.011077284812927246, -0.005972027778625488, -1.969353913589661e-06, 1759498911197069724, 
-0.030742347240447998, 0.033818602561950684, 6.296788039277656e-11, 1759498911227057875, 
0.028647422790527344, 0.0034013986587524414, 4.069863548925362e-11, 1759498911259161509, 
0.006836235523223877, -0.04677659273147583, 5.445763882442416e-11, 1759498911287062402, 
0.010009467601776123, -0.016468942165374756, -1.9832882798554487e-06, 1759498911317114188, 
-0.018412470817565918, 0.004029333591461182, 1.717680800750471e-10, 1759498911347147574, 
-0.00025200843811035156, -0.0045702457427978516, 9.562355122448311e-11, 1759498911369327903, 
0.030039966106414795, 0.009354591369628906, -1.569365231400982e-06, 1759498911407302760, 
-0.007735848426818848, -0.025878489017486572, -1.9822859515971858e-06, 1759498911437368003, 
-0.006070435047149658, 0.0045247673988342285, 2.8238928265976353e-10, 1759498911467434359, 
0.0031585693359375, 0.019369781017303467, -1.8619846736077981e-06, 1759498911499441642, 
0.0444377064704895, 0.016170203685760498, -1.8625941518627973e-06, 1759498911531438278, 
-0.01525193452835083, -0.012728691101074219, -2.2666995555441204e-06, 1759498911557728949, 
-0.047267913818359375, -0.008206665515899658, -1.9872073415753493e-06, 1759498911587716359, 
-0.007416844367980957, 0.0027533769607543945, 2.835818164311365e-10, 1759498911617808058, 
0.0016145706176757812, -0.011899769306182861, -2.0545604550190307e-06, 1759498911646817127, 
0.030248820781707764, -0.013289153575897217, 1.7215631985090886e-10, 1759498911677957525, 
-0.031206369400024414, 0.0005617737770080566, 3.1869705030444784e-10, 1759498911707960942, 
-0.012880146503448486, -0.004507780075073242, -1.9183142269496917e-06, 1759498911739028701, 
0.03765857219696045, 0.018816351890563965, -1.865917496815227e-06, 1759498911770971730, 
0.0214729905128479, -0.018905043601989746, -2.1836577783550697e-06, 1759498911798267093, 
-0.003958165645599365, -0.015637636184692383, -2.056515005218887e-06, 1759498911827248802, 
-0.01456916332244873, 0.011732101440429688, 1.0135842000838532e-10, 1759498911858335085, 
0.005240738391876221, 0.03499263525009155, -1.9851387310277516e-06, 1759498911888359821, 
0.03175032138824463, 0.004171311855316162, -1.971069058397206e-06, 1759498911918597739, 
-0.03308767080307007, -0.011526107788085938, 2.798687497901796e-10, 1759498911948667052, 
-0.006299018859863281, -0.022551238536834717, -1.929548126919849e-06, 1759498911979552407, 
0.002995789051055908, 0.033403754234313965, -1.8974185082462545e-06, 1759498912010961913, 
0.01909506320953369, 0.005983591079711914, 1.8830417338606668e-10, 1759498912037847700, 
0.0133436918258667, -0.015804827213287354, 1.9682493901953008e-10, 1759498912068780330, 
-0.03510153293609619, 0.0220644474029541, -2.0513810021145717e-06, 1759498912097832871, 
-0.01512455940246582, 0.007332026958465576, 1.34613276668828e-10, 1759498912128945992, 
0.026531100273132324, 0.025365769863128662, 4.78497357243564e-11, 1759498912159037350, 
0.0031359195709228516, 0.011548995971679688, -0.001642728603462444, 1759498912189189269, 
-0.01953810453414917, -0.033819377422332764, -0.00023851711195849596, 1759498912219175301, 
-0.14767718315124512, 0.46964168548583984, 0.04728719947545907, 1759498912251674495, 
0.03854459524154663, 0.27400481700897217, 0.4247126647230114, 1759498912281527765, 
-0.42238175868988037, 1.232670545578003, 0.7752438457672439, 1759498912309697668, 
-0.48578691482543945, 0.22201436758041382, 1.0992642759254776, 1759498912361724773, 
0.22683000564575195, 0.3345763683319092, 1.4852758052571375, 1759498912399867115, 
-0.5132079720497131, 0.13911104202270508, 1.615510602962885, 1759498912429652549, 
0.5236654877662659, 0.4992203116416931, 1.8272751281436421, 1759498912458850982, 
-1.0518261194229126, -0.05585604906082153, 1.7912502027022952, 1759498912491649867, 
0.5234951972961426, 0.028805792331695557, 2.0020459702026767, 1759498912522751101, 
0.2080661654472351, -0.0007292032241821289, 2.3392233313999387, 1759498912549900307, 
