x, y, th, stamp, 
-0.07888498157262802, -2.7288095951080322, -1.5486054521481802, 1759498557737115316, 
-0.07888448238372803, -2.728809118270874, -1.5486104234774751, 1759498557787040974, 
-0.07888448238372803, -2.728809118270874, -1.5486104234774751, 1759498557837213007, 
-0.07888448238372803, -2.728809118270874, -1.5486104234774751, 1759498557897650245, 
-0.07901497185230255, -2.7289986610412598, -1.546801292295689, 1759498557946991189, 
-0.07880594581365585, -2.7308850288391113, -1.5302809108374442, 1759498557997168014, 
-0.078669473528862, -2.73526668548584, -1.5087746997983411, 1759498558047194298, 
-0.07868146151304245, -2.739689826965332, -1.4899826402864536, 1759498558088285852, 
-0.0780552327632904, -2.745231866836548, -1.468328194528486, 1759498558137247246, 
-0.077408567070961, -2.752774715423584, -1.4342117608561977, 1759498558207693554, 
-0.07689962536096573, -2.755286931991577, -1.4187256573020368, 1759498558237111622, 
-0.07563631981611252, -2.7601444721221924, -1.3886705349774904, 1759498558297251215, 
-0.07517595589160919, -2.762924909591675, -1.3729978161705565, 1759498558327246413, 
-0.07368720322847366, -2.769571542739868, -1.3403162359859726, 1759498558397177609, 
-0.07270446419715881, -2.7745015621185303, -1.3161234373857589, 1759498558448231253, 
-0.07168024778366089, -2.7780706882476807, -1.2946381761790005, 1759498558487251551, 
-0.07048126310110092, -2.782648801803589, -1.2697705877248544, 1759498558537023201, 
-0.0683937519788742, -2.7886288166046143, -1.2348797158897982, 1759498558607733329, 
-0.06742890179157257, -2.7912206649780273, -1.2190972835937801, 1759498558637787995, 
-0.06571245938539505, -2.795449733734131, -1.1922197569828095, 1759498558687713536, 
-0.06362099200487137, -2.8005518913269043, -1.1598055321400187, 1759498558747117973, 
-0.06167864426970482, -2.804600715637207, -1.1353949955303573, 1759498558797150469, 
-0.059695858508348465, -2.8090548515319824, -1.1099158957029203, 1759498558848453359, 
-0.05803447216749191, -2.812342882156372, -1.0900444181334346, 1759498558887576729, 
-0.05549931153655052, -2.8173940181732178, -1.0644420664054526, 1759498558937350687, 
-0.05303763225674629, -2.8218019008636475, -1.0384059049429017, 1759498558987215914, 
-0.05067743360996246, -2.825810432434082, -1.012230425579547, 1759498559037771331, 
-0.048369377851486206, -2.8299925327301025, -0.9852584740806868, 1759498559088573547, 
-0.04513348266482353, -2.834299325942993, -0.9563243657699054, 1759498559147747770, 
-0.042314376682043076, -2.83813738822937, -0.9326875122077471, 1759498559197523406, 
-0.039846181869506836, -2.8412132263183594, -0.9102327262381384, 1759498559242703785, 
-0.03713219240307808, -2.8442296981811523, -0.8872133548246066, 1759498559287672747, 
-0.03424784541130066, -2.8477587699890137, -0.8619061703057431, 1759498559337247724, 
-0.031141771003603935, -2.8514530658721924, -0.8370851172140595, 1759498559387669729, 
-0.027814695611596107, -2.8550498485565186, -0.8114931769526101, 1759498559437232324, 
-0.024804722517728806, -2.8581478595733643, -0.7882663602239827, 1759498559483173398, 
-0.020648373290896416, -2.8620433807373047, -0.7572057896177394, 1759498559547572236, 
-0.01716761477291584, -2.8650918006896973, -0.7316702249274818, 1759498559597306885, 
-0.014001069590449333, -2.8679020404815674, -0.7078230254147705, 1759498559643151857, 
-0.010971928015351295, -2.870474100112915, -0.6861964778762885, 1759498559687240496, 
-0.007406225893646479, -2.8733513355255127, -0.6629368757261215, 1759498559737188195, 
-0.0038966555148363113, -2.875809669494629, -0.6383690621104905, 1759498559787147488, 
-0.00013761874288320541, -2.878697395324707, -0.612382894160445, 1759498559838366220, 
0.003271306399255991, -2.8807694911956787, -0.5896819564876696, 1759498559883853831, 
0.00796020869165659, -2.8836700916290283, -0.558200655676567, 1759498559947225248, 
0.011407311074435711, -2.8856310844421387, -0.5365493050051473, 1759498559994170439, 
0.015276007354259491, -2.8878934383392334, -0.5108552637042104, 1759498560044130539, 
0.01915614865720272, -2.889846086502075, -0.4894347603123526, 1759498560087108600, 
0.023465480655431747, -2.8919994831085205, -0.46387259465755154, 1759498560137058045, 
0.027547597885131836, -2.893954277038574, -0.4388079615492673, 1759498560187114214, 
0.0313989482820034, -2.895627021789551, -0.416628894397632, 1759498560235249169, 
0.035545241087675095, -2.897153615951538, -0.3911246518258814, 1759498560285278500, 
0.04092077910900116, -2.8989882469177246, -0.3579929315239086, 1759498560347260221, 
0.044938795268535614, -2.9003939628601074, -0.3334083601695415, 1759498560395134636, 
0.0491141714155674, -2.9017021656036377, -0.30987473438552254, 1759498560445135908, 
0.05286025628447533, -2.9027271270751953, -0.2897663883706989, 1759498560487105760, 
0.057114120572805405, -2.903719663619995, -0.26529121836156844, 1759498560537059623, 
0.0616455115377903, -2.904672384262085, -0.23962666473719013, 1759498560588166262, 
0.06581797450780869, -2.9055871963500977, -0.21544178670721498, 1759498560636776599, 
0.06992171704769135, -2.906169891357422, -0.1923308018694728, 1759498560686409985, 
0.07542794197797775, -2.9070539474487305, -0.16141931041003288, 1759498560749368971, 
0.07965289801359177, -2.9073851108551025, -0.1379521154783794, 1759498560796268653, 
0.0842139720916748, -2.9077396392822266, -0.11316585811201875, 1759498560847185893, 
0.08780933171510696, -2.9082698822021484, -0.09427505422092908, 1759498560887111488, 
0.09197049587965012, -2.9083974361419678, -0.06978461602929056, 1759498560938050627, 
0.09648111462593079, -2.9086008071899414, -0.044854602700067886, 1759498560987189402, 
0.10099706798791885, -2.9087066650390625, -0.020258296979188038, 1759498561037144815, 
0.10681070387363434, -2.908785343170166, 0.00866721044936555, 1759498561098452751, 
0.11132598668336868, -2.9086010456085205, 0.03247816405191547, 1759498561147586643, 
0.11575141549110413, -2.908426523208618, 0.05779105652407956, 1759498561197018399, 
0.12047991901636124, -2.908088207244873, 0.08313539179762892, 1759498561247287032, 
0.1239415854215622, -2.907569169998169, 0.103041739644294, 1759498561287179503, 
0.12832233309745789, -2.9069323539733887, 0.12901071493036773, 1759498561338062695, 
0.13266439735889435, -2.906196117401123, 0.15321702313154478, 1759498561387115364, 
0.13678766787052155, -2.9052412509918213, 0.17932430118064896, 1759498561437157446, 
0.14105647802352905, -2.904477834701538, 0.20552658805727636, 1759498561485895388, 
0.14600743353366852, -2.903022050857544, 0.23508953060431484, 1759498561547648158, 
0.15050891041755676, -2.9018683433532715, 0.25913692674037414, 1759498561597244896, 
0.1547962874174118, -2.9004132747650146, 0.28391735983168637, 1759498561647102713, 
0.15809305012226105, -2.899280548095703, 0.30367641823572217, 1759498561687152158, 
0.16267085075378418, -2.897749662399292, 0.3307270960360497, 1759498561739085638, 
0.16682513058185577, -2.896120071411133, 0.3565184611795116, 1759498561787108642, 
0.17118124663829803, -2.8945720195770264, 0.38150482699991056, 1759498561837057463, 
0.17638547718524933, -2.8922715187072754, 0.41051352907456695, 1759498561897703540, 
0.1808057427406311, -2.890294313430786, 0.43555255936255893, 1759498561947575045, 
0.18499863147735596, -2.8881380558013916, 0.46233715033058237, 1759498561997185488, 
0.18893030285835266, -2.886060953140259, 0.4894835975702294, 1759498562047110164, 
0.19180357456207275, -2.8843867778778076, 0.5077274974375472, 1759498562087125676, 
0.1957160383462906, -2.882044792175293, 0.5288801370651157, 1759498562137151903, 
0.19979210197925568, -2.8795127868652344, 0.5528186665534486, 1759498562187135717, 
0.20328588783740997, -2.877065420150757, 0.5785088358636324, 1759498562237295506, 
0.2074691504240036, -2.8739356994628906, 0.61027869391829, 1759498562296900062, 
0.21125897765159607, -2.8712403774261475, 0.6341105116137697, 1759498562347687842, 
0.21517303586006165, -2.8683762550354004, 0.6574832011544705, 1759498562397191029, 
0.21843673288822174, -2.865217447280884, 0.6821640689001612, 1759498562447144234, 
0.2215658724308014, -2.8627452850341797, 0.7023063041069925, 1759498562488126145, 
0.22465315461158752, -2.859729528427124, 0.7273980076516557, 1759498562537116341, 
0.22739137709140778, -2.8569040298461914, 0.7508294642095051, 1759498562583381666, 
0.2305280566215515, -2.8538320064544678, 0.7750067935799013, 1759498562632111368, 
0.23418238759040833, -2.850151777267456, 0.8013775695197406, 1759498562687271167, 
0.23776058852672577, -2.8460946083068848, 0.8277884516965613, 1759498562742947731, 
0.2408495843410492, -2.8426945209503174, 0.8522292668433262, 1759498562793219237, 
0.24376167356967926, -2.8393471240997314, 0.8770460062353385, 1759498562843113670, 
0.2465771734714508, -2.836031198501587, 0.901991441744746, 1759498562891127390, 
0.2495715320110321, -2.831946611404419, 0.9250787843016337, 1759498562941099736, 
0.25194141268730164, -2.828740119934082, 0.9444267308160065, 1759498562983110145, 
0.25476446747779846, -2.8247196674346924, 0.968543332600679, 1759498563033258994, 
0.25788789987564087, -2.8196606636047363, 1.0055026368611175, 1759498563102315576, 
0.2599695324897766, -2.816401720046997, 1.0267993855507087, 1759498563142754829, 
0.26252248883247375, -2.812213182449341, 1.050920545743966, 1759498563192573537, 
0.26509344577789307, -2.807917356491089, 1.0753787432745208, 1759498563243665250, 
0.2671494781970978, -2.8038501739501953, 1.098010901064795, 1759498563292135598, 
0.26913514733314514, -2.799661636352539, 1.1238731769662433, 1759498563342200469, 
0.2705839276313782, -2.7963764667510986, 1.1466120793627255, 1759498563382263525, 
0.27222731709480286, -2.7922072410583496, 1.1734443114939492, 1759498563431978491, 
0.2752102017402649, -2.7855727672576904, 1.2069838385161842, 1759498563501942614, 
0.27664652466773987, -2.7815563678741455, 1.224712355241448, 1759498563541997959, 
0.2781596779823303, -2.7773308753967285, 1.248968902918382, 1759498563592542596, 
0.27980148792266846, -2.7728664875030518, 1.2767480803249096, 1759498563643579394, 
0.281058669090271, -2.7682154178619385, 1.3025276818466247, 1759498563692122570, 
0.28234052658081055, -2.7641685009002686, 1.3243336372105432, 1759498563737183779, 
0.2834136188030243, -2.759385585784912, 1.3456470262938192, 1759498563787109957, 
0.2844723165035248, -2.7544121742248535, 1.368750077259001, 1759498563836930232, 
0.28512927889823914, -2.7504374980926514, 1.3921642614853154, 1759498563883159474, 
0.28580009937286377, -2.744868516921997, 1.4257765268210028, 1759498563947627334, 
0.28630656003952026, -2.7403781414031982, 1.4507581902149282, 1759498563997143435, 
0.2868708372116089, -2.736069440841675, 1.4734522694470895, 1759498564043147099, 
0.28706398606300354, -2.731902599334717, 1.4955205821838957, 1759498564087112836, 
0.287300705909729, -2.7274320125579834, 1.5212735596495968, 1759498564137222591, 
0.28759461641311646, -2.7228238582611084, 1.5474817261110303, 1759498564187138689, 
0.2877694070339203, -2.7181172370910645, 1.5716367459476646, 1759498564238018603, 
0.2875320017337799, -2.712707042694092, 1.600327236159009, 1759498564297714215, 
0.2872808277606964, -2.7080748081207275, 1.6249765867488193, 1759498564347205459, 
