x, y, th, stamp, 
-6.667112827301025, -9.694352149963379, 1.2373930166804126, 1759500107447966592, 
-6.667112827301025, -9.694352149963379, 1.2373930166804126, 1759500107495138642, 
-6.667112827301025, -9.694352149963379, 1.2373930166804126, 1759500107543241582, 
-6.667112827301025, -9.694352149963379, 1.2373930166804126, 1759500107591259888, 
-6.666967868804932, -9.693949699401855, 1.2373930166804126, 1759500107639076794, 
-6.665834426879883, -9.691529273986816, 1.2375973756652412, 1759500107688663315, 
-6.664808750152588, -9.68762493133545, 1.2367628787962066, 1759500107735043947, 
-6.663143157958984, -9.682701110839844, 1.2376160386190722, 1759500107783052683, 
-6.661182403564453, -9.677214622497559, 1.2383589319453232, 1759500107831767050, 
-6.658087730407715, -9.668389320373535, 1.2394843337668788, 1759500107895738455, 
-6.655130386352539, -9.660759925842285, 1.239176330897751, 1759500107943162386, 
-6.652100086212158, -9.652052879333496, 1.2385290036824024, 1759500107991422539, 
-6.648529052734375, -9.641985893249512, 1.238447436700801, 1759500108039375610, 
-6.644680976867676, -9.63107967376709, 1.2391509733221417, 1759500108086956294, 
-6.640512943267822, -9.618539810180664, 1.2382258506219026, 1759500108135666113, 
-6.6342549324035645, -9.59997272491455, 1.2376551242345923, 1759500108199191467, 
-6.628808975219727, -9.584663391113281, 1.237511383973395, 1759500108247458896, 
-6.623307228088379, -9.5684175491333, 1.2371313287493344, 1759500108294968873, 
-6.617353916168213, -9.551606178283691, 1.237131608347231, 1759500108343508999, 
-6.611208915710449, -9.533685684204102, 1.2379285700615172, 1759500108391505624, 
-6.604540824890137, -9.515482902526855, 1.2399393995274504, 1759500108440546332, 
-6.598433494567871, -9.497518539428711, 1.2405079327077382, 1759500108487100554, 
-6.592024803161621, -9.479427337646484, 1.2420533798733198, 1759500108534874173, 
-6.586061477661133, -9.461624145507812, 1.2437732853525674, 1759500108583565152, 
-6.578002452850342, -9.437627792358398, 1.2458389227717763, 1759500108647349374, 
-6.571999549865723, -9.419651985168457, 1.2475217279839028, 1759500108695117122, 
