x, y, th, stamp, 
-0.0657297894358635, -2.641672372817993, -1.4035044388619422, 1759498910045961255, 
-0.06572974473237991, -2.641672372817993, -1.4035052475119658, 1759498910094152652, 
-0.06572974473237991, -2.641672372817993, -1.4035051505967224, 1759498910144218726, 
-0.06572974473237991, -2.641672372817993, -1.4035050376839955, 1759498910187310853, 
-0.06572972238063812, -2.641672372817993, -1.4035053179742825, 1759498910237073785, 
-0.06572970002889633, -2.641672372817993, -1.403505724845463, 1759498910305082385, 
-0.06572970002889633, -2.641672372817993, -1.4035057466022312, 1759498910345419389, 
-0.06572970002889633, -2.641672372817993, -1.4035054457778051, 1759498910396529210, 
-0.06572970002889633, -2.641672372817993, -1.4035054567380285, 1759498910445223492, 
-0.06572970002889633, -2.641672372817993, -1.4035054732146308, 1759498910495179604, 
-0.06572970002889633, -2.641672372817993, -1.4035054748465483, 1759498910545158193, 
-0.06572970002889633, -2.641672372817993, -1.4035054746132205, 1759498910586583361, 
-0.06572967767715454, -2.641672372817993, -1.4035058088011132, 1759498910636209670, 
-0.06572967767715454, -2.641672372817993, -1.4035058022493605, 1759498910705595484, 
-0.06572967767715454, -2.641672372817993, -1.4035057992268338, 1759498910745251542, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498910796365369, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498910845257404, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498910895137071, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498910945089079, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498910985242862, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911036207499, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911085280264, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911145651461, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911195439127, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911245166438, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911295132540, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911345086005, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911385133230, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911435216612, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911505135895, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911535271442, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911595548745, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911645154793, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911695135177, 
-0.06572967767715454, -2.641672372817993, -1.403505780878281, 1759498911746098468, 
