x, y, theta, stamp, 
4.1406678974453826e-08, -4.804525843837837e-08, 4.768291206035527e-07, 1761313333684238077, 
6.211000425082602e-08, -7.206788410485387e-08, 7.152451047490456e-07, 1761313333738256047, 
-3.312520107101591e-07, 3.8436283489318157e-07, -3.8146546249051803e-06, 1761313333779170870, 
0.0007287162588909268, -0.00012183029321022332, -0.005060137804173198, 1761313333828177794, 
0.0033318118657916784, -0.0003080875612795353, -0.025238467413898843, 1761313333880196241, 
0.007535075768828392, -0.0005532294162549078, -0.05056207470824832, 1761313333931339600, 
0.012912461534142494, -0.0011751041747629642, -0.07963834876728171, 1761313333977387724, 
0.018187671899795532, -0.0019843862392008305, -0.1167042010973996, 1761313334020484749, 
0.026232101023197174, -0.0033716196194291115, -0.17076404721023172, 1761313334074132612, 
0.037944547832012177, -0.0056148553267121315, -0.23737895805186937, 1761313334133524663, 
0.04910092055797577, -0.008865638636052608, -0.3040647019605744, 1761313334183174263, 
0.060180529952049255, -0.01243168581277132, -0.3806834081316562, 1761313334234380958, 
0.07248181104660034, -0.01776251383125782, -0.4582660584076459, 1761313334284194316, 
0.08181776851415634, -0.022033894434571266, -0.5248831627793504, 1761313334325295921, 
0.10861745476722717, -0.0402226485311985, -0.7170871840602098, 1761313334444278398, 
0.1255640983581543, -0.056535083800554276, -0.8655607108070701, 1761313334534235821, 
0.14199337363243103, -0.07808578014373779, -1.025186438005172, 1761313334634418431, 
0.15365979075431824, -0.09925686568021774, -1.1697055646388341, 1761313334724304615, 
0.16271407902240753, -0.12386488914489746, -1.33471391716774, 1761313334824807668, 
0.167993426322937, -0.15263378620147705, -1.51380839789243, 1761313334934434508, 
0.16846102476119995, -0.17949730157852173, -1.6762316830587394, 1761313335034316574, 
0.16472811996936798, -0.2043781578540802, -1.8139551569170922, 1761313335124386542, 
0.15694677829742432, -0.23208780586719513, -1.961118405684315, 1761313335224818343, 
0.14327232539653778, -0.26174429059028625, -2.109461210464445, 1761313335334241171, 
0.1265474557876587, -0.28761258721351624, -2.2364753569429814, 1761313335434178433, 
0.10838190466165543, -0.3092498481273651, -2.3391765618178715, 1761313335524351185, 
0.08114951103925705, -0.33509451150894165, -2.461114895442625, 1761313335644099637, 
0.05933684855699539, -0.35196453332901, -2.534352435050378, 1761313335735448135, 
0.03367609158158302, -0.36880695819854736, -2.6074272689683613, 1761313335833233901, 
0.00923343375325203, -0.3826279044151306, -2.658410293010385, 1761313335924402451, 
-0.0180888082832098, -0.39678719639778137, -2.7016933161297043, 1761313336024507074, 
