e, e_dot, e_int, stamp, 
-0.6494377906695981, 0.03397811732671285, -0.13077019124217376, 1763139403316917945, 
-0.6494377906695981, 0.010153538085994063, -0.1300906288956395, 1763139403316917945, 
-0.6445792715165153, 0.016195063843609248, -0.12956365685704743, 1763139403565941074, 
-0.645004658712152, 0.014777106524820338, -0.12926811472655103, 1763139403716908157, 
-0.645004658712152, -0.0014179573187889094, -0.12897257259605463, 1763139403716908157, 
-0.6563767129589324, -0.03790684748926817, -0.12975906869221576, 1763139403965010230, 
-0.65807979351595, -0.04358378267932691, -0.1306307443458023, 1763139404116958673, 
-0.6582450231093163, -0.006227700501279705, -0.13151343530561324, 1763139404276106419, 
-0.6548800435239112, 0.010665833306796232, -0.13141365734327848, 1763139404365948274, 
-0.6551214508923238, 0.01041190738997518, -0.13121643450170342, 1763139404516178598, 
-0.6407397373662225, 0.04713435385896229, -0.1300494154521638, 1763139404676144360, 
-0.5812172731635444, 0.2463472590959311, -0.12513856409480606, 1763139404815929879, 
-0.5134532028181537, 0.42428844849356273, -0.1156940142231947, 1763139404916935830, 
-0.44915633063896254, 0.4402031417486063, -0.10292178710804405, 1763139405055673551, 
-0.3862365735606464, 0.4240554308583575, -0.08992307380118418, 1763139405216973750, 
-0.31365889545642966, 0.45165811727510957, -0.07660345331040257, 1763139405357941974, 
-0.25251877133685097, 0.44572600741265145, -0.06349428269026179, 1763139405455187693, 
-0.1904982400995766, 0.41053551785617687, -0.050445060459523815, 1763139405611972127, 
-0.13358116848786772, 0.3964586761632775, -0.038439878661619686, 1763139405756016599, 
-0.05939132505499767, 0.4370230501485965, -0.0255647155761628, 1763139405900318165, 
0.021763808817114705, 0.517816591016608, -0.011413912315050045, 1763139406059978945, 
0.0809670305226926, 0.4678611852589676, 0.002889300952320643, 1763139406155980648, 
0.12060795332157292, 0.3294804816815274, 0.014889252844092015, 1763139406316083447, 
0.1511386428245286, 0.23390537433945333, 0.02351424177791961, 1763139406466976354, 
0.1613984948293551, 0.1359684716926072, 0.028876339398363773, 1763139406555992234, 
0.1613984948293551, 0.034199506682754954, 0.03159570883221592, 1763139406555992234, 
0.16507744659527723, 0.012263172553073817, 0.03252496241693249, 1763139406716423858, 
0.1736727202149737, 0.04091408461872873, 0.03334324410930707, 1763139406865960991, 
0.17867284039743847, 0.04531797934053746, 0.034494867147179295, 1763139407006849539, 
0.17867284039743847, 0.01666706727488254, 0.03540122673399004, 1763139407006849539, 
0.17165886050386892, -0.023379932978565183, 0.03526696941991639, 1763139407116435093, 
0.13599740914189284, -0.14225143751848543, 0.03242194066954668, 1763139407265998845, 
0.13599740914189284, -0.11887150453992024, 0.02957691191917697, 1763139407265998845, 
0.10794612576432039, -0.09350427792524152, 0.02532939626987374, 1763139407425255688, 
0.08473640499508528, -0.17087001382269187, 0.021911995993419902, 1763139407564995684, 
0.059225693831600146, -0.16240143977573415, 0.016793881639400387, 1763139407665971807, 
0.02652920116675228, -0.19402401276111, 0.01136608666622918, 1763139407810534899, 
0.02652920116675228, -0.10898830888282622, 0.007485606411006981, 1763139407810534899, 
0.0021398568786547, -0.08129781429365861, 0.0036798839474772842, 1763139407971006747, 
-0.017613696235518117, -0.14714299134090134, 0.0007370241206592576, 1763139408111959328, 
-0.020043213184027464, -0.07394356687560721, -0.0023678035027260586, 1763139408210649898, 
-0.020043213184027464, -0.00809838982836449, -0.003846674840238203, 1763139408210649898, 
-0.018441683966118783, 0.0053384307263622715, -0.0039018740222782474, 1763139408371954772, 
-0.02634192713876715, -0.020995713182465625, -0.004321788285927559, 1763139408511008943, 
-0.02634192713876715, -0.026334143908827896, -0.004741702549576872, 1763139408511008943, 
-0.023712167873203183, 0.008765864218546563, -0.005093068143382499, 1763139408651104461, 
-0.024686543712317932, 0.005517944754830732, -0.004982709248285884, 1763139408810978922, 
-0.024686543712317932, -0.0032479194637158315, -0.00487235035318927, 1763139408810978922, 
-0.043786990168637185, -0.06366815485439752, -0.006210671839551537, 1763139408911012343, 
-0.04115371674114554, -0.05489057676275869, -0.00730848337480671, 1763139409077269265, 
-0.01558863449711434, 0.09399451890507615, -0.0067019560937931376, 1763139409216021890, 
-0.01558863449711434, 0.08521694081343734, -0.004822065715691615, 1763139409216021890, 
-0.014120021161889373, 0.004895377784083221, -0.0030198193437412034, 1763139409356095911, 
-0.009694669186879334, 0.019646551034116683, -0.00262688832305887, 1763139409456184568, 
0.008652409000819206, 0.07590810054236193, -0.0010108187565299668, 1763139409615989594, 
0.008652409000819206, 0.06115692729232847, 0.0005073432543172718, 1763139409615989594, 
-0.007722614555651708, -0.05458341185490304, 0.0006388135630657802, 1763139409756174434, 
-0.011554122589934934, -0.0673551053025138, -0.0007082885429844958, 1763139409877592813, 
0.0013052406300304575, 0.030092850618940552, -0.0011980997677037456, 1763139410016024439, 
0.0013052406300304575, 0.042864544066551304, -0.0005962427553249346, 1763139410016024439, 
-0.0034147554399478475, -0.015733320233261017, -5.3618278659128826e-05, 1763139410156096196, 
-0.0034147554399478475, -0.015733320233261017, -0.00036828468332434917, 1763139410156096196, 
-0.02123828874167355, -0.05941177767241901, -0.0018711866414379496, 1763139410316454950, 
-0.007579589860069569, -0.013882781400405738, -0.002148842269446064, 1763139410416030361, 
-0.004489359255236969, 0.055829764954788606, -0.0022204825237986726, 1763139410556022426, 
-0.004489359255236969, 0.010300768682775333, -0.0011038872247029004, 1763139410556022426, 
-0.017295712314704614, -0.04268784353155882, -0.00175162872167857, 1763139410716020474, 
0.007210966375230554, 0.039001085434891745, -0.0009716070129807353, 1763139410866036567, 
0.0004272141068718538, 0.059076421405254896, -0.0006438354555068137, 1763139410956010453, 
0.0004272141068718538, -0.022612507561195667, 0.0005376929725982841, 1763139410956010453, 
-0.016948405414361267, -0.05791873173744374, -0.0010729318133745039, 1763139411116331617, 
-0.035470871836600915, -0.11966028647824256, -0.003466137542939355, 1763139411266014794, 
-0.05738008082969792, -0.1347722513844555, -0.00731995720537734, 1763139411406613742, 
