odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
-4.124471431055099e-08, 4.823117549790368e-08, -4.775263264839082e-07, 0.0, 9.19393311482608e-11, 1.147452683011853, -1.4117354006781484, 3.1069021832084407, 1763139623867883653, 
-4.124471075783731e-08, 4.823116839247632e-08, -4.77532675064935e-07, 0.0, 3.1562478852720233e-07, 1.1478676018830694, -1.4095879564007199, 3.103252386241926, 1763139624128922784, 
-4.124471075783731e-08, 4.823116839247632e-08, -4.775272181077999e-07, 0.0, 2.2757861567468396e-11, 1.1490172901155697, -1.4071311294101287, 3.105796282869448, 1763139624317463929, 
-6.186716916545265e-08, 7.234683607748593e-08, -7.159382042478396e-07, 0.0, 2.387784547863703e-07, 1.1415242413295508, -1.4070886189099256, 3.1037428513312424, 1763139624528584509, 
-6.186716916545265e-08, 7.234683607748593e-08, -7.159368475346627e-07, 0.0, 4.641212327655131e-12, 1.1442881119542205, -1.4111581724444393, 3.1012609366834147, 1763139624667605719, 
-4.1244700099696274e-08, 4.823116483976264e-08, -4.775178450201622e-07, 0.0, 0.0, 1.1466409898983851, -1.4067711191320622, 3.106909626809871, 1763139624968658035, 
-4.1244700099696274e-08, 4.823116483976264e-08, -4.775171797389324e-07, 0.0, -4.634775636197519e-12, 1.1466798412788526, -1.4100714169143085, 3.105916269138128, 1763139625067468788, 
-2.0622232810296737e-08, 2.411549360203935e-08, -2.3910180596500023e-07, 4.0442536071250906e-07, 3.705619064930943e-06, 1.1457192588148386, -1.4112269362236982, 3.1051695526168372, 1763139625168343406, 
2.362554596402333e-13, -1.7053025658242404e-13, -6.893612159960488e-10, 3.0063443405775595e-07, 2.849441671060049e-06, 1.1435943548404792, -1.4094223434490456, 3.107031763044571, 1763139625328553724, 
2.362554596402333e-13, -1.7053025658242404e-13, -6.894239354981046e-10, 0.0, -3.239215493056058e-11, 1.1450842799400858, -1.4106116898311345, 3.1051947127483595, 1763139625467542308, 
0.004241817630827427, -0.00017662910977378488, -0.03550999867625428, 0.06400173290115524, -0.5046108961105347, 1.1345460298154406, -1.412159881406654, 3.0598033088453738, 1763139625608376538, 
