x, y, theta, stamp, 
3.197442310920451e-14, -1.2434497875801753e-14, 2.4051003451097204e-10, 1761318629942817543, 
3.197442310920451e-14, -1.2434497875801753e-14, 2.4078630274580584e-10, 1761318629985307122, 
3.197442310920451e-14, -1.2434497875801753e-14, 2.4085508329839503e-10, 1761318630053238753, 
3.0294891075755004e-06, -3.541159685482853e-06, 3.480975342046281e-05, 1761318630102882260, 
0.001383769791573286, -3.528143133735284e-05, 0.0035360356948056304, 1761318630144887565, 
0.005349644459784031, 0.00013847165973857045, 0.010442465142868762, 1761318630194863089, 
0.011437710374593735, 0.00032126778387464583, 0.021726044476855735, 1761318630245818676, 
0.01883336529135704, 0.0007814621785655618, 0.03543952374121126, 1761318630293844082, 
0.028170589357614517, 0.0013988453429192305, 0.053904168776533354, 1761318630344234352, 
0.0420498251914978, 0.0023664054460823536, 0.08314294092703275, 1761318630406981709, 
0.054526619613170624, 0.003626852761954069, 0.10715042583478125, 1761318630454249412, 
0.06982511281967163, 0.005203327164053917, 0.135612287077802, 1761318630503885622, 
0.08347861468791962, 0.007132569327950478, 0.1607754297992771, 1761318630545885890, 
0.11479650437831879, 0.012916362844407558, 0.222583532475777, 1761318630647877116, 
0.14357782900333405, 0.020202158018946648, 0.2845063435987068, 1761318630743879089, 
0.1755204200744629, 0.030786458402872086, 0.35263838092158006, 1761318630854986069, 
0.20150698721408844, 0.040847811847925186, 0.4058216659972347, 1761318630944866661, 
0.22932028770446777, 0.05358894169330597, 0.4648144265782995, 1761318631044884481, 
0.25684359669685364, 0.06819620728492737, 0.5217167716181393, 1761318631144963850, 
0.2855413556098938, 0.085799939930439, 0.5856776962006001, 1761318631254875829, 
0.3082273602485657, 0.10155734419822693, 0.6355863248188777, 1761318631344895698, 
0.3328748941421509, 0.12034514546394348, 0.6866516230589427, 1761318631445865337, 
0.3558855950832367, 0.1397925615310669, 0.7332852816435111, 1761318631545353480, 
0.38099929690361023, 0.1631060391664505, 0.7860700026830072, 1761318631655362411, 
