e, e_dot, e_int, stamp, 
-2.356196505583891, 6.429376921679798e-05, -0.2110961251588072, 1761314869931935246, 
-2.3561863365608664, 6.16860671931843e-05, -0.21576969972545382, 1761314869983716743, 
-2.3561962802498844, 1.7343895113844513e-05, -0.28431397989125984, 1761314870052601921, 
-2.3561962802512486, -4.811722773408649e-05, -0.2555770945051868, 1761314870092187101, 
-2.356196280252613, -2.0407406459849838e-11, -0.21339640411273295, 1761314870143170099, 
-2.356196280253977, -1.8186912711194648e-11, -0.23574443574222628, 1761314870192240071, 
-2.3561962802553413, -1.937123728394821e-11, -0.2216639387185567, 1761314870237247125, 
-2.3532817190055946, 0.017524240909616993, -0.23657223027721225, 1761314870292685784, 
-2.3380883434624953, 0.14575539144111746, -0.22301652284802037, 1761314870332180544, 
-2.3041503528128455, 0.28939013978049577, -0.2557805521389951, 1761314870402376216, 
-2.269817263346354, 0.3891788647626286, -0.27737129467061816, 1761314870452566416, 
-2.194343704032109, 0.5053717786912998, -0.31787946940026546, 1761314870543273755, 
-2.0831766770118096, 0.6511956851131181, -0.41428952884167647, 1761314870642394504, 
-1.9636984746091999, 0.8172301878758822, -0.39307868532174095, 1761314870732216986, 
-1.8236897319350158, 0.9099013237051222, -0.3715309426973352, 1761314870832255761, 
-1.6656908832062982, 0.9413407581920588, -0.38345293817593534, 1761314870943172814, 
-1.5268685335311236, 0.9395617408055875, -0.3519531393694685, 1761314871042743595, 
-1.399770398398649, 0.9383901017992651, -0.28934108096295413, 1761314871132188690, 
-1.254997404427726, 0.949475175123871, -0.26604251699853476, 1761314871233608483, 
-1.096597002545808, 0.9533819590765287, -0.26507377424787215, 1761314871344170559, 
-0.9579871478460669, 0.9531863463164966, -0.2291380592749033, 1761314871441312740, 
-0.8309569867014304, 0.9360498900219367, -0.18189311347117637, 1761314871533278707, 
-0.6930195379888449, 0.9189686700982849, -0.15904257087511067, 1761314871633550732, 
-0.5561202228531092, 0.8785161330494698, -0.14486453903263244, 1761314871742208228, 
-0.4411455274101215, 0.8112263580959226, -0.11641074505314808, 1761314871840162147, 
-0.33855033821839386, 0.7629383239436209, -0.08458532675474464, 1761314871932171489, 
-0.23714063101833593, 0.7093316568335867, -0.0651193159023182, 1761314872032285412, 
