x, y, theta, stamp, 
5.329070518200751e-15, -1.2434497875801753e-14, -3.2775125967412735e-11, 1761316356199702442, 
5.329070518200751e-15, -1.2434497875801753e-14, -3.436674006644581e-11, 1761316356249634300, 
5.329070518200751e-15, -1.2434497875801753e-14, -3.550360728004087e-11, 1761316356299920932, 
5.329070518200751e-15, -1.2434497875801753e-14, -3.732259482179296e-11, 1761316356359724518, 
5.329070518200751e-15, -1.2434497875801753e-14, -3.891420892082604e-11, 1761316356409059168, 
5.329070518200751e-15, -1.2434497875801753e-14, -4.005107613442109e-11, 1761316356459997204, 
5.329070518200751e-15, -1.2434497875801753e-14, -4.164269023345417e-11, 1761316356501023542, 
0.0016749377828091383, -7.813874981366098e-05, 0.0031962255329449616, 1761316356552988760, 
0.005697230808436871, 3.549895700416528e-05, 0.004793157341949097, 1761316356595894173, 
0.012434498406946659, -0.00018332913168706, 0.004854433122673223, 1761316356644781216, 
0.021881546825170517, -0.000518868095241487, 0.0030393647199026177, 1761316356694415885, 
0.03244514763355255, -0.00020927461446262896, 0.0036897710272321186, 1761316356745915734, 
0.04416104406118393, -0.00021039583953097463, 0.005042313256223171, 1761316356789091235, 
0.06673255562782288, -3.2807307434268296e-05, 0.005042313256223171, 1761316356860196816, 
0.09563840925693512, 0.0002593225799500942, 0.006679039197877303, 1761316356949807549, 
0.12583357095718384, 0.0005399163346737623, 0.00965327896972333, 1761316357049247981, 
0.15358300507068634, 0.00081611581845209, 0.0116941222821634, 1761316357140315910, 
0.19096457958221436, 0.0014103990979492664, 0.014533443513646943, 1761316357259936309, 
0.21917013823986053, 0.0018422127468511462, 0.017048034708080563, 1761316357349632917, 
0.24988532066345215, 0.002300357911735773, 0.019453673198934235, 1761316357449722487, 
0.2774610221385956, 0.002998513635247946, 0.024385586770614722, 1761316357539336643, 
0.3144254684448242, 0.004097030032426119, 0.03440657259829599, 1761316357660632994, 
0.3420512080192566, 0.005202697589993477, 0.040785040210309875, 1761316357749632554, 
0.3730466365814209, 0.006558888591825962, 0.047789295665125256, 1761316357849043692, 
0.4010084867477417, 0.008177285082638264, 0.06175329056883832, 1761316357939685294, 
0.43825563788414, 0.01097479835152626, 0.08090885186819277, 1761316358060658610, 
0.4659777581691742, 0.013551348820328712, 0.0973604276792693, 1761316358151646165, 
0.49698320031166077, 0.017052510753273964, 0.11851232444569888, 1761316358249632848, 
0.5240343809127808, 0.020447736606001854, 0.13843678928952521, 1761316358340858047, 
0.5609570145606995, 0.026325255632400513, 0.17259904389662295, 1761316358460663261, 
0.588101327419281, 0.03134814277291298, 0.19679341048722543, 1761316358550654322, 
0.6178882122039795, 0.0378294363617897, 0.2257873248483799, 1761316358649631655, 
0.645183801651001, 0.044548146426677704, 0.2537443425777053, 1761316358740000313, 
0.6809194684028625, 0.05463859811425209, 0.28960749886863263, 1761316358860668235, 
0.7074253559112549, 0.06301722675561905, 0.31389350537414956, 1761316358950632851, 
0.7365649342536926, 0.07319828122854233, 0.3419189575989119, 1761316359049664469, 
0.7624508738517761, 0.0827871784567833, 0.37282623457255404, 1761316359140765743, 
0.7968074083328247, 0.0970940962433815, 0.4142665838700829, 1761316359259646783, 
0.8224048614501953, 0.1089116707444191, 0.44511946349156295, 1761316359350665511, 
0.8503780364990234, 0.1230168268084526, 0.47838007537049926, 1761316359449705866, 
0.8748508095741272, 0.1360633820295334, 0.5109189494046211, 1761316359541805255, 
0.9060114622116089, 0.15434370934963226, 0.548049596132435, 1761316359658675168, 
0.9303624629974365, 0.16990572214126587, 0.5753858375786041, 1761316359749670202, 
0.9558154344558716, 0.18724006414413452, 0.6086821929761757, 1761316359848726032, 
0.9785271286964417, 0.203507661819458, 0.6363405138247957, 1761316359940280367, 
1.0073250532150269, 0.22590819001197815, 0.6741979309446998, 1761316360058641639, 
1.029116153717041, 0.24395473301410675, 0.7042076653221638, 1761316360149630957, 
1.0516865253448486, 0.2639048993587494, 0.7333081877522233, 1761316360247744318, 
1.0725064277648926, 0.2834044098854065, 0.7618640830595081, 1761316360340163097, 
1.0980921983718872, 0.30885639786720276, 0.7957289719784968, 1761316360457679828, 
1.118152379989624, 0.33016470074653625, 0.825039752429719, 1761316360550661883, 
1.1384106874465942, 0.35299140214920044, 0.8558857151450655, 1761316360647837989, 
1.1605380773544312, 0.3797765076160431, 0.8858899051758523, 1761316360760060018, 
1.1789097785949707, 0.40329790115356445, 0.9130142081694564, 1761316360857653341, 
