odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
-1.649690801741599e-07, 1.9292588149255607e-07, -1.908682197844668e-06, 0.0, -2.218573935675039e-10, 0.03866919926353055, 0.08536378735202453, 0.006248952779226674, 1763139403005240771, 
-1.649690801741599e-07, 1.9292588149255607e-07, -1.9087294929029345e-06, 0.0, -2.1838458819090079e-10, 0.038197956850897545, 0.08252135466687308, 0.007103081654801817, 1763139403215922912, 
-1.649690801741599e-07, 1.9292588149255607e-07, -1.908773149879796e-06, 0.0, -2.2612506311858738e-10, 0.03440778718214642, 0.08472717793699033, 0.005663424205145869, 1763139403405204201, 
-1.649690801741599e-07, 1.9292588149255607e-07, -1.908820444938062e-06, 0.0, -2.1821153217693734e-10, 0.03727218313808723, 0.0816270910286985, 0.0031951941699627714, 1763139403615956472, 
-1.649690801741599e-07, 1.9292588149255607e-07, -1.9088641019149237e-06, 0.0, -2.2141691258248386e-10, 0.039289136903796124, 0.08155357947099498, -7.04636993556905e-06, 1763139403805474147, 
-1.649690801741599e-07, 1.9292588149255607e-07, -1.90891139697319e-06, 0.0, -2.1431389995996142e-10, 0.03858077309466866, 0.08518928824095427, 0.0035969500857076474, 1763139404015935234, 
-1.649690801741599e-07, 1.9292588149255607e-07, -1.9089332254616204e-06, 0.0, -2.1400639593771587e-10, 0.037729602397521524, 0.08551437875170832, 0.006108476203628346, 1763139404116958673, 
-1.649690801741599e-07, 1.9292588149255607e-07, -1.908980520519887e-06, 0.0, -2.6802057795372036e-10, 0.03993926035219463, 0.08456602977223925, 0.004426541879886756, 1763139404316826934, 
-1.649690801741599e-07, 1.9292588149255607e-07, -1.9090023490083177e-06, 0.0, -2.181887448493569e-10, 0.03937731447513242, 0.08432692920988068, 0.0027330608455122794, 1763139404415968896, 
-1.649690801741599e-07, 1.9292588149255607e-07, -1.909024177496748e-06, 0.0, -2.172167723468732e-10, 0.038017789844662045, 0.0856991196872426, 0.0021446032090027814, 1763139404516178598, 
0.002276151441037655, -0.0003426372422836721, -0.05309431051727591, 0.017853807448620168, -0.6075731515884399, 0.040679242355379584, 0.0873217944972081, -0.021351468044879404, 1763139404717930103, 
0.005113475024700165, -0.00017476489301770926, -0.10146650131039156, 0.026391278010883763, -0.4457148611545563, 0.041859496227106906, 0.08508745627078967, -0.07759875529746277, 1763139404815929879, 
0.007299425546079874, -0.00044049584539607167, -0.15224272637454347, 0.019454117111878694, -0.4940694570541382, 0.04442782478958468, 0.08296555803910473, -0.14502584245805492, 1763139404916935830, 
0.009385475888848305, -0.0009044879116117954, -0.19887857615258692, 0.027071158792668845, -0.5246217846870422, 0.04690839974465125, 0.08546664590354333, -0.22050039400234658, 1763139405005603802, 
0.014079430140554905, -0.0016007532831281424, -0.3055296935990047, 0.018856356780016688, -0.4692056179046631, 0.05087312919924635, 0.0838593735953046, -0.2873103902727158, 1763139405216973750, 
0.016408167779445648, -0.0020817527547478676, -0.3569599381151323, 0.019922453766813477, -0.5149664282798767, 0.05719705522488596, 0.07967417783943895, -0.36212443045033327, 1763139405316959700, 
0.018296971917152405, -0.0027533508837223053, -0.4029574820122227, 0.020954366652378875, -0.5316270589828491, 0.058686022760863835, 0.08196951092066539, -0.4322963334731055, 1763139405405302325, 
0.022572780027985573, -0.00468403659760952, -0.506265381598448, 0.027071895341464217, -0.4928976595401764, 0.0652812668527442, 0.08090973905867485, -0.5056510032478819, 1763139405611972127, 
0.024408143013715744, -0.005652213003486395, -0.5590992834818648, 0.021925227758516304, -0.50271075963974, 0.07118456139170135, 0.08148939704131188, -0.577079925316561, 1763139405716930289, 
0.027802634984254837, -0.007759811822324991, -0.6548350556412983, 0.028775640836704912, -0.5410486459732056, 0.07067344586065782, 0.08022952009941287, -0.6468439174546038, 1763139405900318165, 
0.030455200001597404, -0.00994107685983181, -0.7211878364964687, 0.02630399093029515, -0.6141929030418396, 0.07261275515290376, 0.07916736341325192, -0.7295581424501114, 1763139406010982070, 
0.03274763375520706, -0.011848552152514458, -0.7822408996664701, 0.024209045769922097, -0.57181715965271, 0.07582794400311871, 0.07500684482674845, -0.7849881253466436, 1763139406116933758, 
0.03575995936989784, -0.014631954953074455, -0.8287652317190017, 0.021780794601450264, -0.22104085981845856, 0.07923225927645663, 0.06917510263201912, -0.8165486026582763, 1763139406316083447, 
0.0371151864528656, -0.016191579401493073, -0.8491813099697972, 0.022238655784292502, -0.19807156920433044, 0.08435107541173083, 0.06465982752596891, -0.8464010109729996, 1763139406415962000, 
0.03856866434216499, -0.01797035150229931, -0.8686529416183902, 0.029392853775097844, -0.1919218748807907, 0.08668166674021166, 0.06727986201813135, -0.8696177316131569, 1763139406516075791, 
0.04353716969490051, -0.023975316435098648, -0.8853813230327314, 0.03320077023112055, -0.04867776855826378, 0.08949171673899466, 0.06659692628290644, -0.8781829505365132, 1763139406716423858, 
0.045481372624635696, -0.02605382353067398, -0.8785586924750699, 0.03086595129838093, 0.11887313425540924, 0.09064735988481717, 0.05583848680311065, -0.8583997113102464, 1763139406815997326, 
0.04801345244050026, -0.028871506452560425, -0.8628146806658195, 0.04109929993386196, 0.13413649797439575, 0.09476011833160854, 0.04798995047110723, -0.8495967777110329, 1763139406915995721, 
0.051043298095464706, -0.032430414110422134, -0.8349036666607187, 0.008531499342770204, 0.22910703718662262, 0.09462674860552177, 0.04207230310044657, -0.8235938137829066, 1763139407116435093, 
0.05251147225499153, -0.034336239099502563, -0.8187139680374459, 0.023963060445841837, 0.1262458860874176, 0.09802186349597283, 0.043200889640719844, -0.7999300180732867, 1763139407215956706, 
0.05546634644269943, -0.037618812173604965, -0.7830072761326354, 0.024607030669010082, 0.1806461662054062, 0.10224734842064022, 0.040849320735026284, -0.7749891851888422, 1763139407425255688, 
0.056642837822437286, -0.03881600499153137, -0.7670774586485621, 0.017418007737942078, 0.18692012131214142, 0.10653310985854805, 0.03756916116971386, -0.7520942368760947, 1763139407516133766, 
0.05795217677950859, -0.04037319868803024, -0.7501645650158767, 0.018723991150546283, 0.172250896692276, 0.10824107534140873, 0.03771724854812956, -0.7315755841645297, 1763139407616002459, 
0.05935288220643997, -0.04169841110706329, -0.7335391720282083, 0.021146613750093822, 0.1739615648984909, 0.1126209599145947, 0.03759779551556778, -0.7102559179822354, 1763139407715990467, 
0.06198838725686073, -0.04429803416132927, -0.7012158896267681, 0.018353330723656247, 0.1583784967660904, 0.11176685881204444, 0.04069148636990176, -0.6938036568095528, 1763139407921064631, 
0.06305063515901566, -0.04525744542479515, -0.6881694280916282, 0.016035853454232824, 0.13855932652950287, 0.11493211946699193, 0.0377240199890312, -0.6728901180445418, 1763139408012002346, 
0.06428661942481995, -0.04636387899518013, -0.6739928340927296, 0.019202748149278675, 0.15849915146827698, 0.11594061146068467, 0.032940018716448485, -0.6569867373724734, 1763139408111959328, 
0.07028141617774963, -0.050917040556669235, -0.6566644069795132, 0.03377275183274054, 0.05415559560060501, 0.11632865640677424, 0.029273447981862044, -0.6468874514758947, 1763139408321581915, 
0.07246895134449005, -0.05228399857878685, -0.6531182063787458, 0.028894216883923487, 0.02501041069626808, 0.12065471864322937, 0.02603515728979101, -0.6395510119697008, 1763139408412009102, 
0.07719259709119797, -0.05595840886235237, -0.6513145414595525, 0.02477796407857839, -0.0336742028594017, 0.12476871028334846, 0.02371536125962115, -0.6455418173249964, 1763139408621336255, 
0.07957813888788223, -0.05802321434020996, -0.6540758792102949, 0.031129415613526126, -0.028829993680119514, 0.1290727223663571, 0.020312856398715634, -0.6445755272158007, 1763139408721143552, 
0.08410142362117767, -0.061480917036533356, -0.6564502095930151, 0.02526909048685895, -0.05473437160253525, 0.13418854592289414, 0.022009438570232152, -0.6474492141057524, 1763139408911012343, 
0.08635243773460388, -0.06323889642953873, -0.6597259259175943, 0.03251656711918012, 2.6211027943645604e-06, 0.1376524714822931, 0.020127951646423187, -0.6538540472149925, 1763139409006555787, 
0.08892633765935898, -0.06537190079689026, -0.6625569979131484, 0.03206819404347299, -0.028749339282512665, 0.13912858017811167, 0.01298847506589646, -0.6562023275007057, 1763139409116088846, 
0.09342069923877716, -0.06945449113845825, -0.6714746725213537, 0.028423931805814914, -0.025890883058309555, 0.14383997889553785, 0.009652533972469811, -0.6593642115642167, 1763139409316994917, 
0.09560297429561615, -0.07114598900079727, -0.6729671714612724, 0.0291247143533994, -0.029574448242783546, 0.14523469037087147, 0.008810402989167486, -0.664914690547374, 1763139409406563797, 
0.09839724004268646, -0.07358035445213318, -0.6778312331921299, 0.036344942733082544, -0.046466268599033356, 0.1491091402634667, 0.003097683069487467, -0.6720157323091913, 1763139409516502079, 
0.10352682322263718, -0.07784006744623184, -0.6899017091326628, 0.027599165084423016, -0.03017895668745041, 0.15634650913702555, 0.003993754782716624, -0.6849029031368475, 1763139409716995894, 
0.10617002099752426, -0.08033506572246552, -0.6921894634497449, 0.0331498763350352, -0.02253689058125019, 0.15789726267786716, 0.00401776477257554, -0.6868265201880503, 1763139409826649330, 
0.10799384862184525, -0.08186671882867813, -0.6945132577214866, 0.023892468505309836, -0.014970706775784492, 0.159164845860334, -0.00024573860971256116, -0.6854045298243966, 1763139409916236458, 
0.11231831461191177, -0.08550576865673065, -0.6958757560173496, 0.02939890595496762, 0.0, 0.16289250424067644, -0.0021100013490244823, -0.6861228734269149, 1763139410116015772, 
0.11670680344104767, -0.08926673233509064, -0.6958757560173496, 0.02904562440594815, 0.0, 0.16939358614170133, -0.003343984746863119, -0.6879844442967881, 1763139410316454950, 
0.11893650144338608, -0.09129874408245087, -0.6978978729555667, 0.03001789441115979, -0.029596339911222458, 0.1725692881069869, -0.008153585770220805, -0.6915176813043554, 1763139410416030361, 
0.12137165665626526, -0.09335559606552124, -0.7010124016127175, 0.030948359654728277, -0.0341542549431324, 0.17571260971357472, -0.010960407296169828, -0.6937816325069984, 1763139410516989290, 
0.1253548562526703, -0.09665723890066147, -0.6976601883129523, 0.026139469604952274, 0.014788747765123844, 0.18053897387552284, -0.013434098934091946, -0.6892095660805659, 1763139410716020474, 
0.1276659220457077, -0.09869679808616638, -0.698318603113433, 0.030819513482799477, -0.01316062081605196, 0.17964441524678704, -0.01741234457493446, -0.6888158381973942, 1763139410816042200, 
0.12974482774734497, -0.10064496099948883, -0.6993061956206211, 0.029076876486737797, -0.021834788843989372, 0.18251386738726172, -0.01814876440980839, -0.6907257248657818, 1763139410911266652, 
0.13429097831249237, -0.10442837327718735, -0.7010756392245278, 0.025642840135455626, -0.003822834463790059, 0.1885894144207775, -0.0194130424884707, -0.6945189400469766, 1763139411116331617, 
0.13648492097854614, -0.10634933412075043, -0.7003131528260734, 0.029476567731801653, 0.0, 0.1955835245767355, -0.02201283405394065, -0.696019075564421, 1763139411216031805, 
0.13865359127521515, -0.10831694304943085, -0.7020821637880914, 0.03259753228032293, -0.02616424672305584, 0.19851355108514637, -0.020656582328136018, -0.6971964104011688, 1763139411311041346, 
0.1432873010635376, -0.1124441847205162, -0.7070752121204574, 0.03297755126703715, 0.00327406101860106, 0.19892814694002459, -0.026160047412642426, -0.6979912333647413, 1763139411506406603, 
0.14532430469989777, -0.11414116621017456, -0.7078828816598898, 0.02024891569324714, 0.0, 0.20344767319014295, -0.02407008730834146, -0.7007600285278621, 1763139411616047823, 
0.14748744666576385, -0.1161455437541008, -0.7074549762801281, 0.03314145084671799, -0.018648097291588783, 0.2081244374678764, -0.0289535996586265, -0.7085901609971034, 1763139411712033872, 
0.15262846648693085, -0.12102508544921875, -0.7176100089464675, 0.032830973835392435, -0.0607670322060585, 0.2143330666963679, -0.03161960789273994, -0.7244032103478997, 1763139411916271666, 
0.15323618054389954, -0.12139159440994263, -0.7296844125385327, 0.003717390267701692, -0.08564916998147964, 0.2139187902729149, -0.03248847018126834, -0.7336714926444589, 1763139412016382676, 
0.15450717508792877, -0.1225249171257019, -0.7412735366686419, 0.021459005773618357, -0.14221489429473877, 0.2171898238252546, -0.038782506675502114, -0.7452220483088546, 1763139412112022749, 
