e, e_dot, e_int, stamp, 
-2.3561903177303067, 3.875754531028617e-05, -0.2236800330312913, 1761313333779170870, 
-2.3515594966315625, 0.03153810027907467, -0.21173409430835316, 1761313333828177794, 
-2.3327732231322535, 0.15187985808769475, -0.23709048396563023, 1761313333880196241, 
-2.3096624775453294, 0.27100934211464206, -0.2405043919032459, 1761313333931339600, 
-2.2835587133018542, 0.33958724440808913, -0.22438255611479246, 1761313333977387724, 
-2.2494949276411127, 0.45242589765233304, -0.2033316493157803, 1761313334020484749, 
-2.2000639818576158, 0.5705979913748626, -0.21713157010288955, 1761313334074132612, 
-2.1402454876237296, 0.6428588338740931, -0.24830364077584818, 1761313334133524663, 
-2.0805338502083406, 0.7366137121502824, -0.2333797854637614, 1761313334183174263, 
-2.010955763294131, 0.8538101105337587, -0.209503237907013, 1761313334234380958, 
-1.9418207360153956, 0.9155502064592321, -0.2031617770912478, 1761313334284194316, 
-1.8816873885236052, 0.950307543366914, -0.17681335616239513, 1761313334325295921, 
-1.7109427185760258, 0.9660272725667364, -0.29532582753139835, 1761313334444278398, 
-1.5784194838193661, 0.9694059285275186, -0.3601461948072187, 1761313334534235821, 
-1.437238906207164, 0.9608032301711725, -0.29957203025584217, 1761313334634418431, 
-1.3089821405614204, 0.9453706714727561, -0.273993070044124, 1761313334724304615, 
-1.1611249020907117, 0.9660170831061832, -0.24797220463278746, 1761313334824807668, 
-1.000155708360843, 0.9798363509851377, -0.2430686468507474, 1761313334934434508, 
-0.8531546526375813, 0.9800278958758118, -0.21051701139254236, 1761313335034316574, 
-0.7283463944146331, 0.9524758039398193, -0.1634636505935169, 1761313335124386542, 
-0.5945003322817337, 0.9061290496444842, -0.1381773707031857, 1761313335224818343, 
-0.4587573757711203, 0.8577473252802618, -0.12462595598273084, 1761313335334241171, 
-0.3412404454523439, 0.805481012008252, -0.097317419640894, 1761313335434178433, 
-0.2451079500326765, 0.7473331842368802, -0.06622835760166189, 1761313335524351185, 
-0.12910277382624313, 0.6782776722753274, -0.05006279028834276, 1761313335644099637, 
-0.05823529392564186, 0.5815110035918135, -0.03042934513132223, 1761313335735448135, 
0.014033234949676121, 0.5049473595490698, -0.010925960666562944, 1761313335833233901, 
0.06581300160220893, 0.43566867759586486, 0.0013611602940190087, 1761313335924402451, 
0.11098687514144778, 0.33974102126068056, 0.012167084929015725, 1761313336024507074, 
0.15010310389543013, 0.2690181056442226, 0.022888355296295602, 1761313336134449682, 
0.17820771047061168, 0.21230483571211, 0.03073822910394234, 1761313336234420965, 
0.19595188316175127, 0.15948093238235253, 0.03318564980517521, 1761313336324348658, 
0.20727341688437217, 0.1033071934913909, 0.036915025044605684, 1761313336424890156, 
0.21199399147089393, 0.05179374954410929, 0.04324951301993728, 1761313336535246692, 
0.2108635893089641, 0.01041655967278262, 0.043779555453102595, 1761313336633320890, 
0.20743702231387395, -0.01644138218759624, 0.03965152631705677, 1761313336723975230, 
0.1991094190046634, -0.03967691227814865, 0.03975501108596712, 1761313336826490789, 
0.18620191761251936, -0.06656529035215926, 0.0417834984653712, 1761313336935448604, 
0.17380419419425852, -0.08159721597432638, 0.03859699285140672, 1761313337033587484, 
0.1616333892231534, -0.08675681101289934, 0.03286416857072391, 1761313337124453665, 
0.14669773093121075, -0.09463732897016842, 0.0306087162472843, 1761313337224044698, 
0.128734279157678, -0.10431467333657614, 0.030567445805984455, 1761313337334267431, 
0.110772828527411, -0.11513851595305691, 0.026863537296033888, 1761313337432717930, 
0.09644468911526083, -0.11284822199387588, 0.021303466045688915, 1761313337524504241, 
0.07975535181274784, -0.10785630100571238, 0.018313132340204402, 1761313337624162498, 
0.06510918675000932, -0.10004550884681618, 0.01689590938889587, 1761313337734557245, 
0.05323829682066483, -0.08515084777342104, 0.013674222939041511, 1761313337831240144, 
0.039797321558914245, -0.08908412631601241, 0.010001019595396492, 1761313337924276147, 
0.028699461236754154, -0.0850891542204771, 0.007839743672068166, 1761313338024440256, 
0.01996812796315295, -0.06340836735012285, 0.006195236212164743, 1761313338134367453, 
0.01116329132233762, -0.05556702685022469, 0.004204434020625407, 1761313338235256175, 
0.0033310441671110524, -0.05842422128447942, 0.002181377694376747, 1761313338324259075, 
-0.0042756645859101106, -0.05477021274040348, 0.0006426986229205604, 1761313338423939800, 
-0.010014964146329408, -0.04277839807569237, -0.0007671707953503676, 1761313338534259041, 
-0.013252229124235626, -0.028101775139312574, -0.001933541571963504, 1761313338634543389, 
-0.018382309334685765, -0.029813251999641428, -0.0026382955171034314, 1761313338724294601, 
-0.023619936142966758, -0.03409507750717364, -0.003790771300395537, 1761313338840360456, 
-0.024424335970329114, -0.01789812169621081, -0.004648747834697523, 1761313338934244341, 
-0.02950088264037909, -0.019777901032768348, -0.0050115747168668085, 1761313339034243932, 
-0.033279645496399723, -0.030905894753529433, -0.00552509831056595, 1761313339124317396, 
-0.035444483186244824, -0.020229144776419163, -0.006732384742026602, 1761313339239865229, 
-0.038605444099414576, -0.017396099418622354, -0.007514422411584668, 1761313339334355195, 
-0.04025581907944842, -0.016651280310780208, -0.007411082792087048, 1761313339434372059, 
-0.04144802096436573, -0.0099030350895202, -0.007630798374731191, 1761313339524634734, 
-0.042985021792042666, -0.009557778717801321, -0.007882296426311934, 1761313339624019225, 
-0.04229182787297736, -0.0030590688353051647, -0.008854917400844242, 1761313339734260138, 
-0.04191064218421792, 0.0033666482620640266, -0.008913230874736488, 1761313339834257608, 
-0.042229862452988876, 8.973142667752247e-05, -0.00801169914457466, 1761313339924362598, 
-0.04129336059392186, 0.0019548019342925933, -0.007929802146274204, 1761313340023914575, 
-0.04117741003180386, 0.003486002405258962, -0.008724578494871328, 1761313340134255161, 
