e, e_dot, e_int, stamp, 
-0.9786549336641595, 0.004261316997178725, -0.19586258017402247, 1763139967778247422, 
-0.9786549336641595, 0.0023183550623503044, -0.1957773538340789, 1763139967778247422, 
-0.9765481203714758, 0.007022710975612319, -0.19559053251331965, 1763139968064792829, 
-0.9784571415773389, 0.0006593069560686023, -0.19557734637419827, 1763139968178252731, 
-0.9784571415773389, -0.006363404019543717, -0.1955641602350769, 1763139968178252731, 
-0.9789731920659516, -0.0017201682953756532, -0.19572583168137528, 1763139968477700309, 
-0.9748791122056986, 0.011926764572134374, -0.1954872963899326, 1763139968578285645, 
-0.9741177699524363, 0.016184740378384355, -0.1951980049482724, 1763139968717219561, 
-0.9773829402927882, -0.008346093623631997, -0.19509198816339485, 1763139968877767305, 
-0.978887216473103, -0.015898155068888958, -0.19535919511455516, 1763139969025319563, 
-0.9535572439496907, 0.07941898781032501, -0.19398849338103877, 1763139969117220221, 
-0.894606915970651, 0.28093433500817316, -0.18847009175956295, 1763139969264581137, 
-0.8374170656727759, 0.38713392758971604, -0.1790387483728745, 1763139969425289804, 
-0.7859795874269133, 0.3620910951457923, -0.16786690460468937, 1763139969567249187, 
-0.7301837324105673, 0.3574444442073617, -0.15690535903401712, 1763139969677638259, 
-0.665828705789002, 0.4005029387930377, -0.1454661350417655, 1763139969825301530, 
-0.6031815442388444, 0.42334062723907645, -0.13327959882922757, 1763139969967255731, 
-0.5375166943726554, 0.4277067047211554, -0.12043512962670011, 1763139970127331794, 
-0.47951672148794333, 0.4122160758363369, -0.10801433067329622, 1763139970225263846, 
-0.414163981984084, 0.41117570796190456, -0.09541315985631217, 1763139970367273244, 
-0.34721596855750536, 0.44100250976812655, -0.08272644480196885, 1763139970527364659, 
-0.28633792963156224, 0.4260868411750725, -0.06984785867821011, 1763139970668281019, 
-0.2290888097562307, 0.3937571960042489, -0.05750951386301988, 1763139970767599077, 
-0.16284140519279722, 0.4116550814625501, -0.045217876305372676, 1763139970927319677, 
-0.1042716023900514, 0.41605735788726433, -0.03308012115593862, 1763139971067319425, 
-0.1042716023900514, 0.19523267600915273, -0.024758973998193334, 1763139971067319425, 
-0.06828211961454977, 0.11996494258500541, -0.018455021626310172, 1763139971215048413, 
-0.036457989852945794, 0.22604537512368536, -0.013934114123836465, 1763139971328407881, 
-0.014577282330600072, 0.17901612427983235, -0.007954492786539709, 1763139971468303701, 
-0.014577282330600072, 0.0729356917411524, -0.004374170300943062, 1763139971468303701, 
-0.005082984789206213, 0.031647658471312866, -0.002282503296693757, 1763139971616455738, 
0.007916582926710936, 0.07497955085770336, -0.00078291227953969, 1763139971728345784, 
0.01494999281069398, 0.0667765919996673, 0.0011855727298799134, 1763139971868332975, 
0.01494999281069398, 0.023444699613276814, 0.0025211045698732594, 1763139971868332975, 
0.01850020769068328, 0.011834049599964333, 0.0032266795541380823, 1763139972016531594, 
0.02507151942664443, 0.03373842205316816, 0.0039014479952014457, 1763139972176320567, 
0.02507151942664443, 0.02190437245320383, 0.004576216436264809, 1763139972176320567, 
0.0235986758428417, -0.004909478612675766, 0.00491611431307537, 1763139972317266251, 
0.017235371474917383, -0.026120493172423487, 0.004393704449626901, 1763139972416404673, 
0.017235371474917383, -0.02121101455974772, 0.003871294586178431, 1763139972416404673, 
0.01752311372286197, 0.0009591408264819634, 0.0034662571115131155, 1763139972576409381, 
0.01801603915022998, 0.002602225584375321, 0.0035183016232006223, 1763139972718273784, 
0.010593826530587824, -0.023097623974247156, 0.0030755319602453184, 1763139972866724963, 
0.010593826530587824, -0.024740708732140515, 0.002613579480760375, 1763139972866724963, 
0.013070396381729577, 0.008255232837139173, 0.0022838699628603483, 1763139972975325344, 
0.005502544191684278, -0.01697094112967849, 0.0019444511402667785, 1763139973119308099, 
0.005502544191684278, -0.02522617396681766, 0.0016050323176732089, 1763139973119308099, 
0.004478653323920945, -0.0034129695592111098, 0.0010322494471526333, 1763139973279134420, 
0.006929737120960899, 0.004757309764255406, 0.0011273956424377415, 1763139973376385353, 
0.008349016301011813, 0.012901209923636229, 0.0013171604497262438, 1763139973519259466, 
0.008349016301011813, 0.004730930600169714, 0.0015751846481989683, 1763139973519259466, 
0.007070298308751388, -0.004262393307534751, 0.0015845553940516677, 1763139973679910949, 
0.006266545980338822, -0.006941567735576637, 0.001445724039340135, 1763139973827354981, 
0.0020416651409476128, -0.016762110559345917, 0.0010252339620025214, 1763139973919290785, 
0.0014176783160859685, -0.01616289221417618, 0.0006483926291581603, 1763139974067472892, 
0.0014176783160859685, -0.0020799560828721475, 0.00032513478487463667, 1763139974067472892, 
-0.0006970635816698767, -0.00704913965918615, 0.0001425528700334707, 1763139974227354643, 
-0.0006970635816698767, -0.00704913965918615, 1.5700768497476739e-06, 1763139974227354643, 
0.0013201267671478778, 0.006723967829392515, -4.933359746125039e-06, 1763139974369372045, 
-0.00040311542482096563, 0.0009798271894963702, 1.4663184043802364e-05, 1763139974467065852, 
-0.0002094699920516252, -0.005098655863998343, 4.7169423351685795e-05, 1763139974627367651, 
-0.0002094699920516252, 0.0006454847758978014, -5.4803693928281065e-05, 1763139974627367651, 
-0.0011511602168270407, -0.0031389674159180516, -0.00010467334672868608, 1763139974768481360, 
0.0005188626397785168, 0.0024277754394338067, -5.6117837940009946e-05, 1763139974928352655, 
-0.0040188782766785724, -0.009559060199505106, -0.0003100783902484731, 1763139975068370832, 
-0.0040188782766785724, -0.015125803054856965, -0.0005012595942385752, 1763139975068370832, 
-0.0036587614420620085, 0.0012003894487218798, -0.0007797678663612769, 1763139975168419722, 
-0.0031640509503032543, 0.00284942442125106, -0.0007227793779362556, 1763139975308363424, 
-0.0028522982143737163, 0.002688210758960974, -0.0006450073737825986, 1763139975468375747, 
-0.0028522982143737163, 0.0010391757864317934, -0.0005912431586033791, 1763139975468375747, 
-0.002352981676435828, 0.001664388459792961, -0.000537171873678884, 1763139975618637383, 
-0.0067023557109462395, -0.012833524988575077, -0.0007938423734503855, 1763139975728643714, 
-0.0029366395468786166, -0.0019455262348092954, -0.0007994651289507123, 1763139975868381208, 
-0.0029366395468786166, 0.012552387213558744, -0.0008383756536468981, 1763139975868381208, 
0.0003366975511382986, 0.010911123660056385, -0.0003691054361745956, 1763139976018257951, 
-0.004377231883332611, -0.004801974454846647, -0.0004651449252715286, 1763139976128457558, 
-0.006946384368330394, -0.024276939731562308, -0.0007324612467016471, 1763139976268355701, 
-0.006946384368330394, -0.008563841616659277, -0.0012180000413328932, 1763139976268355701, 
-0.002997631144391777, 0.013162510746462056, -0.0011260266587368377, 1763139976418219709, 
-0.008680468541446551, -0.0057802805770538574, -0.0012416322702779147, 1763139976578391791, 
-0.007550147542406016, -0.015175054660047463, -0.0012818831485496228, 1763139976668398142, 
-0.007550147542406016, 0.0037677366634684497, -0.0015853842417505723, 1763139976668398142, 
-0.007311554375102336, 0.0007953105576789336, -0.0014941232973276245, 1763139976818091682, 
-0.007311554375102336, 0.0007953105576789336, -0.0014782170861740457, 1763139976818091682, 
-0.011753267369417397, -0.014805709981050205, -0.0017584250746414713, 1763139976978445425, 
-0.009624445235521417, -0.007709636201396937, -0.00191261779866941, 1763139977119329724, 
-0.009624445235521417, 0.007096073779653267, -0.0020668105226973486, 1763139977119329724, 
-0.007594632941218427, 0.006766040981009969, -0.001789568227484084, 1763139977268768645, 
-0.007788933963502442, 0.006118370906729916, -0.0016672008093494856, 1763139977377406013, 
-0.007489168794622358, 0.00035154715532022723, -0.0015248490466228818, 1763139977519333077, 
-0.0067276459179592685, 0.0035376268184772464, -0.001467049911738938, 1763139977668435653, 
-0.0067276459179592685, 0.0025384095888769664, -0.001396297375369393, 1763139977668435653, 
-0.005198264197215918, 0.005097939069144501, -0.0012435704022089637, 1763139977828404590, 
-0.0013717014106295888, 0.017853148357765598, -0.0008865074350536517, 1763139977919413663, 
-0.0013717014106295888, 0.012755209288621097, -0.0005294444678983398, 1763139977919413663, 
-0.007712209494335376, -0.021135026945685958, -0.0006970408210396369, 1763139978068612132, 
-0.005967926208462426, -0.015320749326109459, -0.001003455807561826, 1763139978228385235, 
-0.005967926208462426, 0.005814277619576498, -0.0013098707940840152, 1763139978228385235, 
-0.00589499701052687, 0.00024309732645185397, -0.0011887232951634482, 1763139978368484027, 
-0.009586779502640086, -0.012062844313925533, -0.0014299801814419589, 1763139978468962388, 
-0.010861253993275977, -0.016554189942497022, -0.0017562020337628622, 1763139978628422139, 
-0.010861253993275977, -0.004248248302119635, -0.0020872858326128024, 1763139978628422139, 
-0.0027462109711404725, 0.027050143407118348, -0.0016312479305128284, 1763139978768395575, 
-0.0060801493958697606, 0.015937015324687387, -0.0013125076240190806, 1763139978868688428, 
-0.013494880447757485, -0.03582889825539004, -0.0014880827209845144, 1763139979028399646, 
-0.013494880447757485, -0.02471577017295908, -0.002204660686092315, 1763139979028399646, 
-0.00869451657747855, 0.01600121290092978, -0.0023789518315329014, 1763139979168512259, 
-0.009075076171371599, 0.014732680921286287, -0.0020842982131071756, 1763139979308466975, 
-0.0063383078920855596, 0.007854028951309969, -0.0016071933760623805, 1763139979428426307, 
-0.0063383078920855596, 0.009122560930953464, -0.0014501127970361811, 1763139979428426307, 
-0.003977234586528544, 0.007870244351856718, -0.0011102566913799776, 1763139979568518882, 
-0.0007329703140543931, 0.01868445859343722, -0.0007365675195112331, 1763139979728595602, 
-0.0016094203357730485, 0.007892714169184986, -0.000421308349090399, 1763139979868407794, 
-0.0016094203357730485, -0.0029215000723955185, -0.00026345406570669935, 1763139979868407794, 
-0.002331377016642655, -0.002406522269565355, -0.0003700145125459168, 1763139979968610570, 
-0.003650553415812441, -0.006803776933464641, -0.0005060900512152096, 1763139980108437554, 
-0.005419681345063765, -0.0102943477614037, -0.0007601074518345907, 1763139980268438760, 
-0.005419681345063765, -0.005897093097504413, -0.0009659944070626647, 1763139980268438760, 
-0.007473277657116473, -0.006845321040175693, -0.0012208426898162668, 1763139980418431040, 
-0.007473277657116473, -0.006845321040175693, -0.0013577491106197806, 1763139980418431040, 
-0.013721865036464997, -0.020828624597828416, -0.0019112280233798628, 1763139980578523086, 
-0.0030842515890321387, 0.014630086893614447, -0.001618626285507574, 1763139980668418678, 
-0.005675670026238144, 0.02682065003408951, -0.001498785776782352, 1763139980818465679, 
-0.005675670026238144, -0.008638061457353352, -0.0009623727761005618, 1763139980818465679, 
-0.0019636474681052896, 0.012373408527109516, -0.0008876658347054385, 1763139980978433319, 
-0.006077327699385959, -0.0013388589104927167, -0.0009144430129152929, 1763139981068421128, 
-0.009001847212747549, -0.023460665815474197, -0.0011361881586825866, 1763139981218511409, 
-0.009001847212747549, -0.009748398377871966, -0.0016054014749920704, 1763139981218511409, 
-0.011058721815405237, -0.0068562486755256264, -0.0019374944160600223, 1763139981378453326, 
-0.013637623312557023, -0.015452586999364915, -0.0022465461560473208, 1763139981518389542, 
-0.011969397918599745, -0.0030355870106483587, -0.0024443828697708002, 1763139981618666489, 
-0.011969397918599745, 0.00556075131319093, -0.0025050946099837673, 1763139981618666489, 
-0.002044346717650969, 0.03308350400316259, -0.0017322095036566973, 1763139981778462748, 
-0.0030649214431814897, 0.02968158825139418, -0.0011385777386288135, 1763139981918466722, 
-0.007666187274135039, -0.018739468521613567, -0.0008516970289978331, 1763139982068448017, 
-0.007666187274135039, -0.015337552769845164, -0.0012264863994301046, 1763139982068448017, 
-0.003030591769468405, 0.015451985015555447, -0.0012241977545158988, 1763139982228438470, 
-0.0033280589577167063, 0.014460427721394442, -0.00093498920008801, 1763139982318455684, 
-0.0033280589577167063, -0.0009915572941610051, -0.0006457806456601212, 1763139982318455684, 
-0.009699318508602284, -0.021237531836285257, -0.0010903624282690464, 1763139982478742310, 
-0.0020894055275602064, 0.004128844767188333, -0.0010077855329252798, 1763139982628472639, 
0.0011767558757569407, 0.03625358128119741, -0.0007074645440270366, 1763139982718425552, 
0.0011767558757569407, 0.010887204677723824, 1.7607081596911674e-05, 1763139982718425552, 
-0.0043256670682862985, -0.018341409813477465, -0.00013147702111816114, 1763139982878664654, 
-0.005188499404124691, -0.02121751759960544, -0.00055582737311027, 1763139983029447652, 
-0.010608901532182413, -0.020944114879653714, -0.0013415378669728935, 1763139983168444549, 
-0.010608901532182413, -0.01806800709352574, -0.0017604201645659678, 1763139983168444549, 
